# DATE: 2024-01-10  UNITS: lj  CONTRIBUTOR: Sun-Ting Tsai
# Table potential for OPP

OPP_FE
N 132 R 0.30 2.92

1 0.30 135.83251 491.04213
2 0.32 126.24243 468.05756
3 0.34 117.10656 445.62087
4 0.36 108.41393 423.73338
5 0.38 100.15355 402.39661
6 0.40 92.31438 381.61231
7 0.42 84.88536 361.38244
8 0.44 77.85537 341.70913
9 0.46 71.21327 322.59462
10 0.48 64.94785 304.04121
11 0.50 59.04787 286.05113
12 0.52 53.50203 268.62642
13 0.54 48.29903 251.76874
14 0.56 43.42750 235.47923
15 0.58 38.87607 219.75829
16 0.60 34.63338 204.60536
17 0.62 30.68808 190.01872
18 0.64 27.02887 175.99532
19 0.66 23.64454 162.53064
20 0.68 20.52396 149.61860
21 0.70 17.65616 137.25153
22 0.72 15.03033 125.42030
23 0.74 12.63585 114.11447
24 0.76 10.46232 103.32259
25 0.78 8.49960 93.03261
26 0.80 6.73776 83.23234
27 0.82 5.16712 73.91008
28 0.84 3.77824 65.05518
29 0.86 2.56186 56.65870
30 0.88 1.50888 48.71401
31 0.90 0.61031 41.21730
32 0.92 -0.14280 34.16803
33 0.94 -0.75941 27.56916
34 0.96 -1.24861 21.42730
35 0.98 -1.61962 15.75252
36 1.00 -1.88191 10.55814
37 1.02 -2.04525 5.86015
38 1.04 -2.11975 1.67661
39 1.06 -2.11587 -1.97316
40 1.08 -2.04451 -5.06944
41 1.10 -1.91692 -7.59299
42 1.12 -1.74473 -9.52594
43 1.14 -1.53992 -10.85251
44 1.16 -1.31476 -11.55972
45 1.18 -1.08173 -11.63781
46 1.20 -0.85289 -11.19718
47 1.22 -0.63545 -10.50723
48 1.24 -0.43418 -9.57999
49 1.26 -0.25380 -8.41958
50 1.28 -0.09891 -7.03288
51 1.30 0.02607 -5.42904
52 1.32 0.11688 -3.61882
53 1.34 0.17097 -1.83453
54 1.36 0.19206 -0.32002
55 1.38 0.18565 0.91263
56 1.40 0.15751 1.85208
57 1.42 0.11359 2.48799
58 1.44 0.06007 2.81138
59 1.46 0.00326 2.82074
60 1.48 -0.05194 2.68984
61 1.50 -0.10392 2.49825
62 1.52 -0.15145 2.24304
63 1.54 -0.19321 1.92264
64 1.56 -0.22791 1.53659
65 1.58 -0.25424 1.08536
66 1.60 -0.27094 0.58297
67 1.62 -0.27797 0.13246
68 1.64 -0.27674 -0.24240
69 1.66 -0.26879 -0.53936
70 1.68 -0.25570 -0.75613
71 1.70 -0.23910 -0.89046
72 1.72 -0.22065 -0.94025
73 1.74 -0.20196 -0.92587
74 1.76 -0.18353 -0.92023
75 1.78 -0.16507 -0.92785
76 1.80 -0.14633 -0.94744
77 1.82 -0.12710 -0.97790
78 1.84 -0.10715 -1.01836
79 1.86 -0.08630 -1.06808
80 1.88 -0.06439 -1.12367
81 1.90 -0.04135 -1.18032
82 1.92 -0.01717 -1.23763
83 1.94 0.00816 -1.29533
84 1.96 0.03465 -1.35321
85 1.98 0.06229 -1.41111
86 2.00 0.09109 -1.46888
87 2.02 0.12101 -1.52161
88 2.04 0.15190 -1.56600
89 2.06 0.18359 -1.60202
90 2.08 0.21592 -1.62962
91 2.10 0.24872 -1.64879
92 2.12 0.28182 -1.65951
93 2.14 0.31504 -1.65837
94 2.16 0.34774 -1.60004
95 2.18 0.37856 -1.47036
96 2.20 0.40608 -1.26932
97 2.22 0.42886 -0.99691
98 2.24 0.44548 -0.65315
99 2.26 0.45451 -0.23802
100 2.28 0.45461 0.22450
101 2.30 0.44606 0.61705
102 2.32 0.43050 0.92391
103 2.34 0.40967 1.14508
104 2.36 0.38527 1.28057
105 2.38 0.35902 1.33036
106 2.40 0.33263 1.29447
107 2.42 0.30767 1.20072
108 2.44 0.28456 1.11140
109 2.46 0.26317 1.02882
110 2.48 0.24336 0.95297
111 2.50 0.22500 0.88387
112 2.52 0.20796 0.82150
113 2.54 0.19210 0.76587
114 2.56 0.17728 0.71726
115 2.58 0.16336 0.67594
116 2.60 0.15019 0.64192
117 2.62 0.13763 0.61520
118 2.64 0.12554 0.59577
119 2.66 0.11375 0.58364
120 2.68 0.10214 0.57852
121 2.70 0.09062 0.57265
122 2.72 0.07926 0.56256
123 2.74 0.06815 0.54825
124 2.76 0.05736 0.52972
125 2.78 0.04699 0.50697
126 2.80 0.03711 0.48000
127 2.82 0.02782 0.44750
128 2.84 0.01932 0.39965
129 2.86 0.01195 0.33445
130 2.88 0.00606 0.25190
131 2.90 0.00199 0.15199
132 2.92 0.00009 0.03473
